term
Profit
Loss
Bearish
Bullish
Liquidity
Dividend
Asset
Liability
Equity
Market Capitalization
Revenue
Expense
Capital Gain
Return on Investment (ROI)
Bear Market
Bull Market
Volatility
Margin
Debt
Portfolio
Hedge
Stock
Share
Holder
